DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
24-Nov-2021 11:17:32,208438,37,38000,37820,795,294,1974,6
24-Nov-2021 11:17:42,208439,37,38009,37822,792,283,1970,6
24-Nov-2021 11:17:46,208440,35,38006,37831,794,291,1975,6
24-Nov-2021 11:17:50,208441,36,38028,37821,789,283,1969,6
24-Nov-2021 11:18:00,208442,37,38019,37844,796,293,1981,6
24-Nov-2021 11:18:10,208443,37,38009,37808,790,479,1969,5
24-Nov-2021 11:18:17,208444,36,37994,37810,796,287,1974,6
24-Nov-2021 11:18:31,208445,37,38030,37846,801,301,1981,6
24-Nov-2021 11:18:38,208446,36,38058,37875,787,294,1972,6
24-Nov-2021 11:18:49,208447,36,38034,37840,792,285,1974,6
24-Nov-2021 11:18:58,208448,36,38025,37836,799,291,1979,6
24-Nov-2021 11:19:10,208449,37,37987,37814,800,293,1982,6
24-Nov-2021 11:19:20,208450,37,37996,37810,788,301,1970,6
24-Nov-2021 11:22:39,208451,37,38003,37819,802,280,1982,6
24-Nov-2021 11:22:43,208452,36,38002,37822,801,289,1979,6
24-Nov-2021 11:22:48,208453,35,38023,37837,797,278,1978,6
24-Nov-2021 11:22:52,208454,36,38021,37827,800,278,1980,6
24-Nov-2021 11:22:56,208455,36,38026,37844,798,285,1979,6
24-Nov-2021 11:23:00,208456,36,38001,37827,790,296,1970,6
24-Nov-2021 11:23:07,208457,37,37994,37813,787,296,1966,6
24-Nov-2021 11:23:11,208458,36,38023,37843,798,282,1978,6
24-Nov-2021 11:23:16,208459,37,38022,37853,807,282,1989,6
24-Nov-2021 11:26:39,208460,36,38007,37828,802,294,1982,6
24-Nov-2021 11:26:47,208461,36,38022,37849,791,282,1972,6
24-Nov-2021 11:26:51,208462,36,38023,37843,797,280,1978,6
24-Nov-2021 11:26:55,208463,36,38018,37850,805,293,1988,6
24-Nov-2021 11:27:00,208464,36,38001,37817,793,299,1974,6
24-Nov-2021 11:27:04,208465,36,38014,37836,794,299,1976,6
24-Nov-2021 11:27:08,208466,36,38026,37841,795,287,1978,6
24-Nov-2021 11:27:15,208467,37,38035,37847,783,277,1966,6
24-Nov-2021 11:27:19,208468,37,38021,37824,793,289,1973,6
24-Nov-2021 11:27:24,208469,37,38000,37819,795,296,1976,6
24-Nov-2021 11:27:28,208470,37,37992,37805,798,305,1976,6
24-Nov-2021 11:27:32,208471,36,37991,37810,800,283,1979,6
24-Nov-2021 11:27:36,208472,37,38016,37826,792,287,1971,6
24-Nov-2021 11:27:43,208473,36,38043,37861,797,285,1981,6
24-Nov-2021 11:27:48,208474,37,38047,37855,786,293,1969,6
24-Nov-2021 11:27:52,208475,36,38053,37854,787,288,1969,6
24-Nov-2021 11:27:56,208476,37,38002,37826,801,288,1983,6
24-Nov-2021 11:28:00,208477,36,38000,37802,798,293,1976,6
24-Nov-2021 11:28:04,208478,36,38016,37820,778,294,1958,6
24-Nov-2021 11:28:10,208479,37,38037,37842,788,285,1969,6
